title,price,category,gender,img_url,product_url
Martina Store Women Hoodie Round Neck - Blue Marguerite,EGP 299.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/077874/1.jpg?6260,https://www.jumia.com.eg/martina-store-women-hoodie-round-neck-blue-marguerite-47877055.html
Defacto Woman Zip-Up Turtle Neck Slim Fit Sweat Shirt - Black,EGP 265.60 - EGP 799.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/4970431/1.jpg?7539,https://www.jumia.com.eg/defacto-woman-zip-up-turtle-neck-slim-fit-sweat-shirt-black-134079489.html
LC Waikiki Crew Neck Women's Sweatshirt,EGP 469.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/6865331/1.jpg?9934,https://www.jumia.com.eg/lc-waikiki-crew-neck-womens-sweatshirt-133568695.html
Caesar Women Hoodie With Front Zipper And Printed Sleeves,EGP 292.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/179194/1.jpg?1835,https://www.jumia.com.eg/caesar-women-hoodie-with-front-zipper-and-printed-sleeves-49197127.html
LC Waikiki Crew Neck Rhinestone Embellished Women's Sweatshirt Tunic,EGP 859.00 - EGP 949.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/3838331/1.jpg?7488,https://www.jumia.com.eg/lc-waikiki-crew-neck-rhinestone-embellished-womens-sweatshirt-tunic-133838356.html
V A L Y A Stylish Women Hoodie - Fuchsia,EGP 349.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/3350431/1.jpg?9889,https://www.jumia.com.eg/v-a-l-y-a-stylish-women-hoodie-fuchsia-134053337.html
Caesar Woman Hoodie With Printed Tape And Zipperon Two Arms,EGP 309.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/057192/1.jpg?1048,https://www.jumia.com.eg/caesar-woman-hoodie-with-printed-tape-and-zipperon-two-arms-29175042.html
LC Waikiki Funnel Neck Printed Oversize Women's Thick Sweatshirt,EGP 499.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/6619331/1.jpg?5130,https://www.jumia.com.eg/lc-waikiki-funnel-neck-printed-oversize-womens-thick-sweatshirt-133916612.html
Caesar Woman Hoodie With Side Zipper And High Neck,EGP 309.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/057192/1.jpg?1047,https://www.jumia.com.eg/caesar-woman-hoodie-with-side-zipper-and-high-neck-29175046.html
Caesar Woman Hoodie With Pocket,EGP 299.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/210492/1.jpg?2597,https://www.jumia.com.eg/caesar-woman-hoodie-with-pocket-29401271.html
Caesar Woman Hoodie With Zipper Pocket,EGP 299.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/547603/1.jpg?0971,https://www.jumia.com.eg/caesar-woman-hoodie-with-zipper-pocket-30674502.html
Caesar Women's oversized hoodie with butterflies and letters printed on the back,EGP 429.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/6246331/1.jpg?4173,https://www.jumia.com.eg/caesar-womens-oversized-hoodie-with-butterflies-and-letters-printed-on-the-back-133642684.html
BENAA FASHION Hoodie Cotton Women's Loose half zipper and high collar-WHITE,EGP 318.74,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/9939331/1.jpg?8839,https://www.jumia.com.eg/benaa-fashion-hoodie-cotton-womens-loose-half-zipper-and-high-collar-white-133939967.html
"Women's Melton cotton jacket with a hood, decorated with heart-shaped embroidery on the chest and sleeve",EGP 395.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/2281431/1.jpg?6091,https://www.jumia.com.eg/generic-womens-melton-cotton-jacket-with-a-hood-decorated-with-heart-shaped-embroidery-on-the-chest-and-sleeve-134182288.html
Caesar Women's plain oversized hoodie with front pockets,EGP 429.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/9147331/1.jpg?1212,https://www.jumia.com.eg/caesar-womens-plain-oversized-hoodie-with-front-pockets-133741910.html
